,0,1
462503,37.0687655418,15.284171651
599925,37.68825,26.944483
491687,40.757294,22.5220635
540723,38.50749688014156,22.72885773684517
462214,37.063092499999996,14.258470500000001
501323,40.93950935,24.9795992
579885,37.972453602957316,23.726268222011864
462538,38.192251,15.556634
452416,38.109279,15.64393
442810,40.4737866,17.2330416
462386,37.82248715,15.2677947
462062,38.04958595,15.0994809
462074,37.661966,14.8333672
462082,37.65624055,14.5259926
465922,0.0,0.0
462086,37.290594,13.585475
462225,37.99760130000001,14.2627862
1043,36.45209582673618,16.870256970909686
462236,37.56720465,14.28015265
462239,37.4265766,14.3006101
462270,37.502959,15.088142
462153,37.624073,14.740017
462279,37.285478,14.998115
462372,37.431079,14.479296
462381,37.6042569,13.93401535
462506,37.852391,15.292123
452488,40.16050073721131,15.156156847539265
462244,37.969836616449996,13.822343795481169
570595,37.919454,22.295238
462489,37.57293671666666,12.872911766666666
511357,40.971013,27.952973
491572,40.17485,22.488682
501515,39.971454,23.39806
491678,40.295297407899966,23.3542208572376
501559,40.760666,23.940471
501339,40.39975,23.880112
501625,40.5926245,23.7939045
442658,40.383414806445764,16.824600047240676
452457,39.715694,16.490886
462197,37.7739772,13.1249825
462201,38.036517,12.583607
442733,40.420848339395185,15.005078600555327
462126,36.8721183,14.4474043
541010,39.25,23.75
462373,37.8680905,12.4696985
452352,38.4476589,16.5791459
501337,40.7248985,26.085729
520985,41.005902,28.973881499999997
501507,40.87545425997033,25.514040198567795
491554,40.36902329216214,23.220439381291666
501358,40.7819725,23.8123785
483974,0.0,0.0
570531,37.63868942058394,21.630874780357008
857321,42.025776,35.143037
599581,36.844,27.17
599575,36.688179500000004,27.3728385
639051,36.52349218858593,30.552166525760224
491703,40.394976,22.560095
550913,38.185491,26.785397
599612,37.941944,27.339722
590030,36.443113,28.227611
491570,40.460491,22.947121
511414,41.078496,28.247677
501347,40.82581148078865,23.841579432345075
541042,39.31386966666667,22.351389333333334
570359,37.893544,22.123335
550823,38.6703265,26.754884
550763,39.110475,26.547048
648789,36.914956000000004,34.898227999999996
530794,39.1549245,20.990092500000003
599821,37.103871,25.377595
648717,36.1008255,32.976596
579925,38.399266,23.7918065
638796,36.827092,28.623687
639166,36.355934,29.31836
570467,37.412417500000004,22.1273485
491511,40.165157,21.820987
599799,37.522904733333334,27.278316833333335
