,id,pleiades,issued_by,mint_location,source,group,series,sub_series,metal,denomination,date_range,range_min,range_max,study_numbers,obv_die_numbers,number_of_obverse_dies,_649_625,_624_600,_599_575,_574_550,_549_525,_524_500,_499_475,_474_450,_449_425,_424_400,_399_375,_374_350,_349_325,_324_300,_299_275,_274_250,_249_225,_224_200,_199_175,_174_150,_149_125,_124_100,_99_75,_74_50,_49_25,_24_1,lat,long
13,14.0,462503,syracuse,syracuse,boehringer 1978,3.00,10.00,,silver,tetradrachm,485-479,-485.0,-479.0,228-239,102-107,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
14,15.0,462503,syracuse,syracuse,boehringer 1978,3.00,11.00,,silver,tetradrachm,485-479,-485.0,-479.0,240-278,108-129,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
15,16.0,462503,syracuse,syracuse,boehringer 1978,3.00,11.00,,silver,drachm,485-479,-485.0,-479.0,279-285,130-132,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
16,17.0,462503,syracuse,syracuse,boehringer 1978,3.00,11.00,,silver,obol,485-479,-485.0,-479.0,286-291,133-138,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
17,18.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,tetradrachm,485-479,-485.0,-479.0,292-355,139-176,37.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
18,19.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,drachm,485-479,-485.0,-479.0,356-361,177-178,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
19,20.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,obol,485-479,-485.0,-479.0,362-370,179-187,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
20,21.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,pentonkion,485-479,-485.0,-479.0,372-373,188-189,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
21,22.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,hexas,485-479,-485.0,-479.0,373.00,190.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
22,23.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,dekadrachm,485-479,-485.0,-479.0,374-378,191-193,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
23,24.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,tetradrachm,485-479,-485.0,-479.0,379-391,194-198,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
24,25.0,462503,syracuse,syracuse,boehringer 1978,3.00,12.00,,silver,obol,485-479,-485.0,-479.0,392-407,199-210,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
25,26.0,462503,syracuse,syracuse,boehringer 1978,4.00,13.00,,silver,tetradrachm,474-450,-474.0,-450.0,408-414,211-213,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
26,27.0,462503,syracuse,syracuse,boehringer 1978,4.00,13.00,,silver,litron,474-450,-474.0,-450.0,415-430,214-228,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
